word,hint,difficulty
ABACUS,An ancient counting tool with beads on rods,hard
ABBA,Swedish pop group famous for Dancing Queen,easy
ABERRATION,A departure from what is normal or expected,hard
ABUNDANCE,A very large quantity of something,easy
ABYSS,A deep or seemingly bottomless chasm,hard
ACCELERATION,Rate of change of velocity,hard
ACORN,The nut of an oak tree,easy
ACRIMONY,Bitterness or ill feeling between people,hard
ACTION,A film genre featuring stunts; fights; and fast pacing,easy
ACTOR,A person who performs a role in a film or play,easy
ACTRESS,A woman who performs a role in a film or play,easy
ACUMEN,The ability to make good judgments quickly,hard
ADELE,British singer known for her powerful soulful voice,easy
ADOBE,Sun-dried brick made of clay,easy
ADULATION,Excessive admiration or praise,hard
ADVENTURE,An exciting or unusual experience,easy
AEROBICS,Exercise performed to music to improve fitness,easy
AESTHETIC,Concerned with beauty and artistic taste,hard
AFTERNOON,The part of the day from noon to evening,easy
AIRPLANE,Fixed-wing flying vehicle,easy
AIRSHIP,A powered aircraft that is lighter than air,hard
AISLE,A passage between rows of seats,easy
ALACRITY,Brisk and cheerful readiness,hard
ALASKA,The largest and most northerly US state,easy
ALBERTA,The western Canadian province known for the Rocky Mountains,hard
ALGAE,Simple aquatic plant life,easy
ALGEBRA,Branch of mathematics using symbols to represent unknowns,hard
ALGORITHM,A set of step-by-step rules for solving a problem,hard
ALIEN,A being from another planet or world,easy
ALLOY,A mixture of two or more metals,hard
ALTRUISM,Selfless concern for the wellbeing of others,hard
ALUMINUM,A lightweight silvery metal used in cans and aircraft,easy
AMAZON,The world's largest tropical rainforest river system,easy
AMBER,Fossilized tree resin,hard
AMBIGUOUS,Open to more than one interpretation,hard
AMBIVALENT,Having mixed or contradictory feelings,hard
AMELIORATE,To make something bad or unsatisfactory better,hard
AMPHIBIAN,A cold-blooded animal that lives on land and in water,easy
ANACHRONISM,Something placed in the wrong historical period,hard
ANALOG,Using continuous physical signals rather than digital ones,hard
ANCHOR,The lead presenter on a news broadcast,easy
ANCHORING,Securing a vessel to the sea floor,hard
ANCHOVY,Small salty fish often used as a pizza topping,easy
ANDROID,The mobile operating system developed by Google,easy
ANDROMEDA,The nearest major galaxy to the Milky Way,hard
ANIMATION,The technique of creating moving images from drawings,easy
ANOMALY,Something that deviates from what is standard,hard
ANT,Small social insect that lives in colonies,easy
ANTAGONIST,The character who opposes the main hero,hard
ANTARCTICA,The southernmost and coldest continent,easy
ANTENNA,A device used to transmit or receive signals,easy
ANTIBIOTIC,A medicine that destroys or inhibits bacterial growth,easy
ANTIPATHY,A deep-seated feeling of aversion or dislike,hard
ANVIL,Heavy iron block for shaping metal,easy
AORTA,The main artery of the body,hard
APATHETIC,Showing or feeling no interest or concern,hard
APEX,Highest point,hard
APPLE,Common red or green fruit,easy
APRICOT,A small soft orange fruit,easy
APRIL,The fourth month; known for April Fools' Day,easy
AQUEDUCT,A structure that carries water over long distances,hard
ARBITRARY,Based on random choice or personal whim,hard
ARCANE,Understood by few; mysterious,hard
ARCHERY,Sport of shooting arrows at a target,easy
ARCHIPELAGO,A group of islands,hard
ARCTIC,The northernmost polar region of Earth,easy
ARENA,An enclosed venue for indoor sports or events,easy
ARETHA,The undisputed Queen of Soul,easy
ARMADA,A large fleet of ships,hard
ARMISTICE,Agreement to stop fighting,hard
AROMA,A pleasant smell,easy
ARTERY,A blood vessel that carries blood away from the heart,hard
ARTIFACT,An object made by humans typically of historical interest,hard
ASCETIC,Practicing severe self-discipline and abstinence,hard
ASSIDUOUS,Showing great care and perseverance,hard
ASTEROID,A small rocky body orbiting the sun,easy
ASTROLABE,An ancient instrument used for navigation,hard
ASTRONAUT,Person who travels to space,easy
ASTRONOMY,The study of stars; planets; and the universe,easy
ATARI,Pioneer of home video game consoles,easy
ATHENS,Capital city of Greece and birthplace of democracy,easy
